55.025,39.1,181.0
56.375,39.5,186.0
58.825,40.3,195.0
57.425,36.7,193.0
57.325,39.3,190.0
54.975,38.9,181.0
58.55,39.2,195.0
55.775,41.1,182.0
57.4,38.6,191.0
58.15,34.6,198.0
55.4,36.6,185.0
58.425,38.7,195.0
59.875,42.5,197.0
54.6,34.4,184.0
60.0,46.0,194.0
53.45,37.8,174.0
54.925,37.7,180.0
56.725,35.9,189.0
56.3,38.2,185.0
55.2,38.8,180.0
56.075,35.3,187.0
56.4,40.6,183.0
57.375,40.5,187.0
52.975,37.9,172.0
55.625,40.5,180.0
55.375,39.5,178.0
54.8,37.2,178.0
57.875,39.5,188.0
57.225,40.9,184.0
58.85,36.4,195.0
59.8,39.2,196.0
58.2,38.8,190.0
56.55,42.2,180.0
55.65,37.6,181.0
56.95,39.8,184.0
55.625,36.5,182.0
59.95,40.8,195.0
56.5,36.0,186.0
61.025,44.1,196.0
56.5,37.0,185.0
58.4,39.6,190.0
56.775,41.1,182.0
57.5,36.0,190.0
59.325,42.3,191.0
56.9,39.6,186.0
57.525,40.1,188.0
56.75,35.0,190.0
61.0,42.0,200.0
55.875,34.5,187.0
58.6,41.4,191.0
56.75,39.0,186.0
58.9,40.6,193.0
54.875,36.5,181.0
58.4,37.6,194.0
55.675,35.7,185.0
59.575,41.3,195.0
56.15,37.6,185.0
58.775,41.1,192.0
55.6,36.4,184.0
58.9,41.6,192.0
58.125,35.5,195.0
57.775,41.1,188.0
56.475,35.9,190.0
59.95,41.8,198.0
55.875,33.5,190.0
57.425,39.7,190.0
58.9,39.6,196.0
60.7,45.8,197.0
56.375,35.5,190.0
59.45,42.8,195.0
57.975,40.9,191.0
55.3,37.2,184.0
55.8,36.2,187.0
59.275,42.1,195.0
55.9,34.6,189.0
59.725,42.9,196.0
55.925,36.7,187.0
57.025,35.1,193.0
58.075,37.3,191.0
59.825,41.3,194.0
57.575,36.3,190.0
57.475,36.9,189.0
57.825,38.3,189.0
58.225,38.9,190.0
60.425,35.7,202.0
62.525,41.1,205.0
55.75,34.0,185.0
57.4,39.6,186.0
56.8,36.2,187.0
63.2,40.8,208.0
58.025,38.1,190.0
60.075,40.3,196.0
53.775,33.1,178.0
59.8,43.2,192.0
57.25,35.0,192.0
61.5,41.0,203.0
55.675,37.7,183.0
57.45,37.8,190.0
58.225,37.9,193.0
56.425,39.7,184.0
59.9,38.6,199.0
57.55,38.2,190.0
55.275,38.1,181.0
60.55,43.2,197.0
59.525,38.1,198.0
59.65,45.6,191.0
58.675,39.7,193.0
60.3,42.2,197.0
58.15,39.6,191.0
60.175,42.7,196.0
56.65,38.6,188.0
59.075,37.3,199.0
56.175,35.7,189.0
57.525,41.1,189.0
55.8,36.2,187.0
58.925,37.7,198.0
54.05,40.2,176.0
60.85,41.4,202.0
55.3,35.2,186.0
59.9,40.6,199.0
57.45,38.8,191.0
59.125,41.5,195.0
57.5,39.0,191.0
63.525,44.1,210.0
57.125,38.5,190.0
60.025,43.1,197.0
58.45,36.8,193.0
60.125,37.5,199.0
57.275,38.1,187.0
58.775,41.1,190.0
57.65,35.6,191.0
61.05,40.2,200.0
56.5,37.0,185.0
59.175,39.7,193.0
59.3,40.2,193.0
57.9,40.6,187.0
56.025,32.1,188.0
58.675,40.7,190.0
58.325,37.3,192.0
57.0,39.0,185.0
58.3,39.2,190.0
56.15,36.6,184.0
58.75,36.0,195.0
58.7,37.8,193.0
56.75,36.0,187.0
61.625,41.5,201.0
64.775,46.1,211.0
70.5,50.0,230.0
65.175,48.7,210.0
67.5,50.0,218.0
66.15,47.6,215.0
64.625,46.5,210.0
64.6,45.4,211.0
66.925,46.7,219.0
63.575,43.3,209.0
65.95,46.8,215.0
64.225,40.9,214.0
66.75,49.0,216.0
65.375,45.5,214.0
65.85,48.4,213.0
64.45,45.8,210.0
67.075,49.3,217.0
63.5,42.0,210.0
68.05,49.2,221.0
64.3,46.2,209.0
68.175,48.7,222.0
67.55,50.2,218.0
65.525,45.1,215.0
65.375,46.5,213.0
65.825,46.3,215.0
64.975,42.9,215.0
65.775,46.1,215.0
66.2,47.8,215.0
65.05,48.2,210.0
68.0,50.0,220.0
67.825,47.3,222.0
63.45,42.8,209.0
63.525,45.1,207.0
72.9,59.6,230.0
67.775,49.1,220.0
67.6,48.4,220.0
64.4,42.6,213.0
66.35,44.4,219.0
63.5,44.0,208.0
64.675,48.7,208.0
63.175,42.7,208.0
69.15,49.6,225.0
64.325,45.3,210.0
66.9,49.6,216.0
68.625,50.5,222.0
65.65,43.6,217.0
64.375,45.5,210.0
69.375,50.5,225.0
64.975,44.9,213.0
65.55,45.2,215.0
64.65,46.6,210.0
67.625,48.5,220.0
64.275,45.1,210.0
69.275,50.1,225.0
66.375,46.5,217.0
66.75,45.0,220.0
63.45,43.8,208.0
66.875,45.5,220.0
63.3,43.2,208.0
69.1,50.4,224.0
63.825,45.3,208.0
67.3,46.2,221.0
65.425,45.7,214.0
71.825,54.3,231.0
66.7,45.8,219.0
70.45,49.8,230.0
70.125,49.5,229.0
66.375,43.5,220.0
68.925,50.7,223.0
66.425,47.7,216.0
67.35,46.4,221.0
67.8,48.2,221.0
66.375,46.5,217.0
66.1,46.4,216.0
70.15,48.6,230.0
64.625,47.5,209.0
68.275,51.1,220.0
65.55,45.2,215.0
67.55,45.2,223.0
65.775,49.1,212.0
68.875,52.5,221.0
65.35,47.4,212.0
